name,time,payload,value
CurrentTemp,1668887801098555685,,34.86
CurrentTemp,1668889601077189392,,34.52
CurrentTemp,1668891401347836758,,34.77
CurrentTemp,1668893201343115342,,34.45
CurrentTemp,1668895001208366217,,33.71
CurrentTemp,1668896801198950708,,32.45
CurrentTemp,1668898601192210617,,31.24
CurrentTemp,1668900401078090819,,29.66
CurrentTemp,1668902200996512014,,28.15
CurrentTemp,1668904001016924593,,27.55
CurrentTemp,1668905801260225121,,26.58
CurrentTemp,1668907601091882135,,25.66
CurrentTemp,1668909401099756394,,24.62
CurrentTemp,1668911201030581351,,23.4
CurrentTemp,1668913001060797668,,21.79
CurrentTemp,1668914800978723474,,21.09
CurrentTemp,1668916601058633608,,20.17
CurrentTemp,1668918401159166426,,19.49
CurrentTemp,1668920200972948723,,19.08
CurrentTemp,1668922001316534730,,19.31
CurrentTemp,1668923801015448764,,19.02
CurrentTemp,1668925601007784062,,19.18
CurrentTemp,1668927400930371577,,18.63
CurrentTemp,1668929201099032101,,18.91
CurrentTemp,1668931001011390204,,18.77
CurrentTemp,1668932801135057784,,18.9
CurrentTemp,1668934600942280903,,19.51
CurrentTemp,1668936401147626514,,19.56
CurrentTemp,1668938201005559861,,19.29
CurrentTemp,1668940000961887729,,18.9
CurrentTemp,1668941801024222502,,19.15
CurrentTemp,1668943601102930098,,19.38
CurrentTemp,1668945401150603991,,20.5
CurrentTemp,1668947201157497373,,20.34
CurrentTemp,1668949001031208045,,20.55
CurrentTemp,1668950801099309478,,20.46
CurrentTemp,1668952601177660517,,22.1
CurrentTemp,1668954401217744508,,24.04
CurrentTemp,1668956201188189388,,26.71
CurrentTemp,1668958001044279493,,30.06
CurrentTemp,1668959801508930798,,32.67
CurrentTemp,1668961601231783151,,34.45
CurrentTemp,1668963401333299844,,36.19
CurrentTemp,1668965201244349396,,38.8
CurrentTemp,1668967001259789957,,40.93
CurrentTemp,1668968801446729036,,42.55
CurrentTemp,1668970601445862051,,43.86
CurrentTemp,1668972403044304712,,44.67
CurrentTemp,1668974201485015058,,45.86
CurrentTemp,1668976001387369097,,46.2
CurrentTemp,1668977801154054933,,46.58
CurrentTemp,1668979601382217876,,46.29
